
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:4D:28:57:A6:58, 2025-05-27 11:28:05, 2025-05-27 11:28:42,  1, 130, WPA2 WPA, CCMP, PSK, -85,       21,        4,   0.  0.  0.  0,   3, ETF, 
76:4D:28:57:A6:58, 2025-05-27 11:28:05, 2025-05-27 11:28:48,  1, 130, WPA2 WPA, CCMP, PSK, -86,       18,       97,   0.  0.  0.  0,  11, ETF Student, 
BA:69:F4:9A:77:34, 2025-05-27 11:28:05, 2025-05-27 11:28:16,  1,  -1, WPA, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
C4:E9:84:A6:11:E8, 2025-05-27 11:28:05, 2025-05-27 11:28:49,  1, 135, WPA2, CCMP, PSK, -32,       39,        4,   0.  0.  0.  0,   8, DARKSIDE, 
B8:69:F4:2E:8F:DF, 2025-05-27 11:28:05, 2025-05-27 11:28:48,  1, 130, WPA2 WPA, CCMP, PSK, -69,       21,       11,   0.  0.  0.  0,   3, ETF, 
BA:69:F4:2E:8F:DF, 2025-05-27 11:28:05, 2025-05-27 11:28:48,  1, 130, WPA2 WPA, CCMP, PSK, -69,       19,       23,   0.  0.  0.  0,  11, ETF Student, 
8C:53:C3:C6:53:3F, 2025-05-27 11:28:05, 2025-05-27 11:28:48,  1, 130, WPA2, CCMP TKIP, PSK, -88,       20,        0,   0.  0.  0.  0,  10, Ziroskop 2, 
56:FD:71:ED:FC:F6, 2025-05-27 11:28:05, 2025-05-27 11:28:47,  1,  65, WPA2, CCMP, PSK, -87,        8,        0,   0.  0.  0.  0,   4, Daxi, 
64:D1:54:A4:36:5F, 2025-05-27 11:28:05, 2025-05-27 11:28:49,  1,  54, WPA2 WPA, CCMP, PSK, -65,       36,       21,   0.  0.  0.  0,  11, SC-LUKAVICA, 
78:96:82:54:AA:C8, 2025-05-27 11:28:05, 2025-05-27 11:28:37,  1, 130, WPA2, CCMP TKIP, PSK, -87,        6,        0,   0.  0.  0.  0,  12, Mi vi oni :), 
3C:84:6A:D1:1E:6B, 2025-05-27 11:28:05, 2025-05-27 11:28:52,  6, 130, WPA2, CCMP, PSK, -59,       62,       10,   0.  0.  0.  0,  12, Embedded Lab, 
90:48:9A:CD:0C:C7, 2025-05-27 11:28:05, 2025-05-27 11:28:52,  6,  65, OPN, ,   , -71,       53,        0,   0.  0.  0.  0,  28, HP-Print-C7-LaserJet Pro MFP, 
3E:84:6A:E1:1E:6B, 2025-05-27 11:28:05, 2025-05-27 11:28:52,  6, 130, WPA2, CCMP, PSK, -59,       68,        0,   0.  0.  0.  0,   0, , 
30:16:9D:02:11:84, 2025-05-27 11:28:06, 2025-05-27 11:28:06, 13, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,  13, MERCUSYS_1184, 
00:31:92:80:4F:2B, 2025-05-27 11:28:06, 2025-05-27 11:28:38,  2, 130, WPA2, CCMP, PSK, -88,       11,        1,   0.  0.  0.  0,   8, LAB_2.32, 
EC:08:6B:EA:EA:24, 2025-05-27 11:28:08, 2025-05-27 11:28:50,  9, 270, WPA2, CCMP, PSK, -92,       14,        0,   0.  0.  0.  0,   6, ETF EM, 
28:2C:02:22:20:5C, 2025-05-27 11:28:08, 2025-05-27 11:28:52, 11, 130, WPA2, CCMP, PSK, -75,       52,        0,   0.  0.  0.  0,  21, beacongw_282C0222205C, 
C0:74:AD:16:3F:15, 2025-05-27 11:28:09, 2025-05-27 11:28:52, 11, 720, OPN, ,   , -83,       21,        3, 192.168. 50.254,  13, Sarax<<free>>, 
76:4D:28:57:A6:3C, 2025-05-27 11:28:09, 2025-05-27 11:28:52, 11, 130, WPA2 WPA, CCMP, PSK, -39,       21,       32,   0.  0.  0.  0,  11, ETF Student, 
74:4D:28:57:A6:3C, 2025-05-27 11:28:09, 2025-05-27 11:28:52, 11, 130, WPA2 WPA, CCMP, PSK, -38,       20,       21,   0.  0.  0.  0,   3, ETF, 
64:6D:6C:AA:E9:78, 2025-05-27 11:28:25, 2025-05-27 11:28:25,  5, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,   7, Mikonic, 
F4:F6:47:2A:1A:B4, 2025-05-27 11:28:33, 2025-05-27 11:28:44,  8, 130, OPN, ,   , -90,        2,        0,   0.  0.  0.  0,   1, M, 
6A:E5:03:BA:5F:97, 2025-05-27 11:28:41, 2025-05-27 11:28:41,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
B8:69:F4:2E:8F:F5, 2025-05-27 11:28:47, 2025-05-27 11:28:47,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D8:E8:44:E3:13:E4, 2025-05-27 11:28:51, 2025-05-27 11:28:51,  5, 130, WPA2, CCMP, PSK, -94,        0,        0,   0.  0.  0.  0,  15, Restoran Jelena, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F0:8A:76:10:5B:DC, 2025-05-27 11:28:05, 2025-05-27 11:28:20, -92,      124, BA:69:F4:9A:77:34,ETF Student
80:CE:B9:0F:66:7F, 2025-05-27 11:28:05, 2025-05-27 11:28:17, -72,       16, 64:D1:54:A4:36:5F,
B4:4C:3B:3B:5F:A7, 2025-05-27 11:28:06, 2025-05-27 11:28:51, -77,       26, (not associated) ,Elemend
32:00:AC:9B:81:D1, 2025-05-27 11:28:06, 2025-05-27 11:28:48, -71,       20, 64:D1:54:A4:36:5F,SC-LUKAVICA
1E:6E:87:D7:DD:FB, 2025-05-27 11:28:06, 2025-05-27 11:28:48, -88,       25, B8:69:F4:2E:8F:DF,ETF
70:66:55:04:D7:13, 2025-05-27 11:28:08, 2025-05-27 11:28:08, -78,       10, (not associated) ,
98:22:EF:5E:DB:F9, 2025-05-27 11:28:08, 2025-05-27 11:28:09, -69,        4, (not associated) ,
22:45:B7:CB:E5:6C, 2025-05-27 11:28:09, 2025-05-27 11:28:37, -84,       23, 64:D1:54:A4:36:5F,
1C:1B:B5:5C:25:B0, 2025-05-27 11:28:09, 2025-05-27 11:28:52, -73,        7, 74:4D:28:57:A6:3C,
24:58:7C:F0:B6:1C, 2025-05-27 11:28:09, 2025-05-27 11:28:36, -56,       15, 3C:84:6A:D1:1E:6B,
BE:D1:D7:D0:AF:5B, 2025-05-27 11:28:11, 2025-05-27 11:28:11, -88,        1, (not associated) ,
2A:E8:7C:77:27:BB, 2025-05-27 11:28:15, 2025-05-27 11:28:26,  -1,        4, 76:4D:28:57:A6:58,
36:68:B5:9D:5D:F7, 2025-05-27 11:28:16, 2025-05-27 11:28:16,  -1,        2, 74:4D:28:57:A6:58,
56:AA:C1:29:93:AB, 2025-05-27 11:28:19, 2025-05-27 11:28:19, -24,        2, (not associated) ,
6E:B5:68:5F:84:F5, 2025-05-27 11:28:19, 2025-05-27 11:28:20, -77,        7, (not associated) ,
70:66:55:04:D6:E1, 2025-05-27 11:28:21, 2025-05-27 11:28:21,  -1,        3, 64:D1:54:A4:36:5F,
1A:3C:B7:25:6D:A1, 2025-05-27 11:28:27, 2025-05-27 11:28:46, -39,       17, 76:4D:28:57:A6:3C,prdekana
AA:E4:38:A9:8E:4B, 2025-05-27 11:28:27, 2025-05-27 11:28:27, -88,        1, (not associated) ,
B2:89:C0:39:BA:E6, 2025-05-27 11:28:30, 2025-05-27 11:28:30, -88,        1, (not associated) ,
B0:6F:E0:C4:48:D4, 2025-05-27 11:28:31, 2025-05-27 11:28:48,  -1,       76, 76:4D:28:57:A6:58,
EA:F3:55:56:BD:D7, 2025-05-27 11:28:31, 2025-05-27 11:28:31,  -1,        5, 76:4D:28:57:A6:58,
40:A3:CC:D1:55:B0, 2025-05-27 11:28:31, 2025-05-27 11:28:42, -78,        5, 74:4D:28:57:A6:58,
E6:82:4A:94:14:2B, 2025-05-27 11:28:32, 2025-05-27 11:28:32,  -1,        1, 76:4D:28:57:A6:58,
BA:CA:9E:1E:0D:99, 2025-05-27 11:28:32, 2025-05-27 11:28:32, -75,        1, B8:69:F4:2E:8F:DF,
F2:DA:EC:2A:2A:50, 2025-05-27 11:28:35, 2025-05-27 11:28:35, -60,        2, 74:4D:28:57:A6:3C,
D4:F9:21:38:A3:18, 2025-05-27 11:28:36, 2025-05-27 11:28:41, -62,       23, 3C:84:6A:D1:1E:6B,
0E:09:8D:C7:EB:FD, 2025-05-27 11:28:37, 2025-05-27 11:28:39, -49,       16, C4:E9:84:A6:11:E8,prdekana
52:88:42:B0:8A:C3, 2025-05-27 11:28:39, 2025-05-27 11:28:39, -88,        7, (not associated) ,
32:65:35:74:2B:EC, 2025-05-27 11:28:40, 2025-05-27 11:28:40, -49,       25, (not associated) ,prdekana
3C:13:5A:B9:FD:10, 2025-05-27 11:28:41, 2025-05-27 11:28:41, -58,        5, 74:4D:28:57:A6:3C,
E2:B0:3E:DF:50:AC, 2025-05-27 11:28:43, 2025-05-27 11:28:48, -86,        3, 76:4D:28:57:A6:58,ETF Student
A6:1F:C3:72:6D:79, 2025-05-27 11:28:44, 2025-05-27 11:28:44, -89,        3, (not associated) ,ASUS_30,Sofrenic
EA:30:C6:67:44:41, 2025-05-27 11:28:47, 2025-05-27 11:28:47, -89,      225, B8:69:F4:2E:8F:F5,
48:87:59:C1:CB:8B, 2025-05-27 11:28:47, 2025-05-27 11:28:47,  -1,        2, 76:4D:28:57:A6:58,
DE:7E:76:E6:74:D0, 2025-05-27 11:28:50, 2025-05-27 11:28:50, -86,        1, (not associated) ,
98:22:EF:5F:49:3D, 2025-05-27 11:28:51, 2025-05-27 11:28:52, -84,        3, (not associated) ,
4A:31:97:EE:58:C0, 2025-05-27 11:28:52, 2025-05-27 11:28:52, -75,        1, (not associated) ,

