Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;ETF;B8:69:F4:2E:8F:DF;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;13;0;17;0;0;17;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:32 2025;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ETF Student;BA:69:F4:2E:8F:DF;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;16;0;6;0;0;6;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:32 2025;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Mi vi oni :);78:96:82:54:AA:C8;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;7;0;0;0;0;0;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:31 2025;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Ziroskop 2;8C:53:C3:C6:53:3F;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;10;0;0;0;0;0;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:31 2025;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;DARKSIDE;C4:E9:84:A6:11:E8;;1;No;WPA2,AES-CCM;No;135.0;0;22;0;0;0;0;0;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:33 2025;-39;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;ETF;74:4D:28:57:A6:58;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;13;0;38;0;0;38;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:31 2025;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ETF Student;76:4D:28:57:A6:58;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;10;0;2;0;0;2;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:33 2025;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;SC-LUKAVICA;64:D1:54:A4:36:5F;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;23;0;1;0;0;1;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:33 2025;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;3E:84:6A:E1:1E:6B;;6;No;WPA2,AES-CCM;No;130.0;0;26;0;0;0;0;0;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:32 2025;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;HP-Print-C7-LaserJet Pro MFP;90:48:9A:CD:0C:C7;;6;No;OPN,None;No;65.0;0;25;0;0;0;0;0;;;Tue May 27 11:19:10 2025;Tue May 27 11:19:32 2025;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
