LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-05-27 11:19:10,1900-01-00 00:00:00,,B8:69:F4:2E:8F:DF,-69, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,BA:69:F4:2E:8F:DF,-70, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,78:96:82:54:AA:C8,-94, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,8C:53:C3:C6:53:3F,-93, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,C4:E9:84:A6:11:E8,-37, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,74:4D:28:57:A6:58,-87, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,76:4D:28:57:A6:58,-86, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,64:D1:54:A4:36:5F,-66, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,Ziroskop 2,8C:53:C3:C6:53:3F,-93, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:58,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-65, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,Mi vi oni :),78:96:82:54:AA:C8,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,Ziroskop 2,8C:53:C3:C6:53:3F,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-64, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-88, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:58,-87, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,60:6E:E8:B7:30:F6,-80,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,Ziroskop 2,8C:53:C3:C6:53:3F,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,3E:84:6A:E1:1E:6B,-58, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,90:48:9A:CD:0C:C7,-77, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,3C:84:6A:D1:1E:6B,-59, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,3E:84:6A:E1:1E:6B,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,HP-Print-C7-LaserJet Pro MFP,90:48:9A:CD:0C:C7,-77, OPN,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,Embedded Lab,3C:84:6A:D1:1E:6B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:10,1900-01-00 00:00:00,,3E:84:6A:E1:1E:6B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:11,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-68, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:11,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:11,1900-01-00 00:00:00,,00:31:92:80:4F:2B,-89, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:11,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-66, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:11,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:11,1900-01-00 00:00:00,LAB_2.32,00:31:92:80:4F:2B,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:11,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-66, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:11,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:11,1900-01-00 00:00:00,LAB_2.32,00:31:92:80:4F:2B,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:13,1900-01-00 00:00:00,,28:2C:02:22:20:5C,-78, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:13,1900-01-00 00:00:00,beacongw_282C0222205C,28:2C:02:22:20:5C,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:13,1900-01-00 00:00:00,beacongw_282C0222205C,28:2C:02:22:20:5C,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:13,1900-01-00 00:00:00,beacongw_282C0222205C,28:2C:02:22:20:5C,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:13,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-83, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,Embedded Lab,3C:84:6A:D1:1E:6B,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,HP-Print-C7-LaserJet Pro MFP,90:48:9A:CD:0C:C7,-72, OPN,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,D8:E8:44:E3:13:E4,-88, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,Restoran Jelena,D8:E8:44:E3:13:E4,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,Embedded Lab,3C:84:6A:D1:1E:6B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,Restoran Jelena,D8:E8:44:E3:13:E4,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,3E:84:6A:E1:1E:6B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,Embedded Lab,3C:84:6A:D1:1E:6B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,HP-Print-C7-LaserJet Pro MFP,90:48:9A:CD:0C:C7,-74, OPN,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,74:4D:28:57:A6:3C,-34, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,76:4D:28:57:A6:3C,-35, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:3C,-34, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:3C,-34, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,beacongw_282C0222205C,28:2C:02:22:20:5C,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,C0:74:AD:16:3F:15,-89, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:3C,-36, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:3C,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,beacongw_282C0222205C,28:2C:02:22:20:5C,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,Sarax<<free>>,C0:74:AD:16:3F:15,-87, OPN,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,Sarax<<free>>,C0:74:AD:16:3F:15,-86, OPN,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:3C,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:3C,-36, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:3C,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,3E:84:6A:E1:1E:6B,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-64,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-60,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,24:58:7C:F0:B6:1C,-57,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-65,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-60,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,Embedded Lab,3C:84:6A:D1:1E:6B,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,24:58:7C:F0:B6:1C,-57,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-61,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,3E:84:6A:E1:1E:6B,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-61,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-65,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,24:58:7C:F0:B6:1C,-57,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-63,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,HP-Print-C7-LaserJet Pro MFP,90:48:9A:CD:0C:C7,-72, OPN,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-61,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,Embedded Lab,3C:84:6A:D1:1E:6B,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-61,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,24:58:7C:F0:B6:1C,-57,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,3E:84:6A:E1:1E:6B,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-61,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,D4:F9:21:38:A3:18,-61,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:14,1900-01-00 00:00:00,,24:58:7C:F0:B6:1C,-57,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:15,1900-01-00 00:00:00,beacongw_282C0222205C,28:2C:02:22:20:5C,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,beacongw_282C0222205C,28:2C:02:22:20:5C,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,,B4:4C:3B:3B:5F:A7,-77,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:15,1900-01-00 00:00:00,,60:6E:E8:B7:30:F6,-79,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-83, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:58,-83, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-62, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,Ziroskop 2,8C:53:C3:C6:53:3F,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,,1C:1B:B5:5C:25:B0,-71,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-83, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-62, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-63, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-62, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-62, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:58,-83, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-62, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:58,-82, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-74, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-83, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-82, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-81, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-82, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,74:4D:28:57:A6:58,-82, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 11:19:15,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
