
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
8C:53:C3:C6:53:3F, 2025-05-27 10:56:37, 2025-05-27 10:57:48,  1, 130, WPA2, CCMP TKIP, PSK, -89,       16,        0,   0.  0.  0.  0,  10, Ziroskop 2, 
B8:69:F4:2E:8F:DF, 2025-05-27 10:56:37, 2025-05-27 10:57:53,  1, 130, WPA2 WPA, CCMP, PSK, -69,       32,       11,   0.  0.  0.  0,   3, ETF, 
BA:69:F4:2E:8F:DF, 2025-05-27 10:56:37, 2025-05-27 10:57:53,  1, 130, WPA2 WPA, CCMP, PSK, -70,       31,       30,   0.  0.  0.  0,  11, ETF Student, 
C4:E9:84:A6:11:E8, 2025-05-27 10:56:37, 2025-05-27 10:57:50,  1, 135, WPA2, CCMP, PSK, -41,       66,      148,   0.  0.  0.  0,   8, DARKSIDE, 
76:4D:28:57:A6:58, 2025-05-27 10:56:37, 2025-05-27 10:57:48,  1, 130, WPA2 WPA, CCMP, PSK, -81,       26,       13,   0.  0.  0.  0,  11, ETF Student, 
78:96:82:54:AA:C8, 2025-05-27 10:56:37, 2025-05-27 10:57:43,  1, 130, WPA2, CCMP TKIP, PSK, -86,       15,        1,   0.  0.  0.  0,  12, Mi vi oni :), 
64:D1:54:A4:36:5F, 2025-05-27 10:56:37, 2025-05-27 10:57:54,  1,  54, WPA2 WPA, CCMP, PSK, -68,       51,        2,   0.  0.  0.  0,  11, SC-LUKAVICA, 
74:4D:28:57:A6:58, 2025-05-27 10:56:37, 2025-05-27 10:57:48,  1, 130, WPA2 WPA, CCMP, PSK, -81,       21,        0,   0.  0.  0.  0,   3, ETF, 
3C:84:6A:D1:1E:6B, 2025-05-27 10:56:38, 2025-05-27 10:57:53,  6, 130, WPA2, CCMP, PSK, -64,      101,        5,   0.  0.  0.  0,  12, Embedded Lab, 
3E:84:6A:E1:1E:6B, 2025-05-27 10:56:38, 2025-05-27 10:57:53,  6, 130, WPA2, CCMP, PSK, -63,      110,        0,   0.  0.  0.  0,   0, , 
00:31:92:80:4F:2B, 2025-05-27 10:56:38, 2025-05-27 10:57:22,  2, 130, WPA2, CCMP, PSK, -91,        9,        0,   0.  0.  0.  0,   8, LAB_2.32, 
28:2C:02:22:20:5C, 2025-05-27 10:56:41, 2025-05-27 10:57:53, 11, 130, WPA2, CCMP, PSK, -71,       76,        0,   0.  0.  0.  0,  21, beacongw_282C0222205C, 
90:48:9A:CD:0C:C7, 2025-05-27 10:56:41, 2025-05-27 10:57:53,  6,  65, OPN, ,   , -75,       70,        0,   0.  0.  0.  0,  28, HP-Print-C7-LaserJet Pro MFP, 
C0:74:AD:16:3F:15, 2025-05-27 10:56:41, 2025-05-27 10:57:53, 11, 720, OPN, ,   , -84,       22,        3, 192.168. 50.254,  13, Sarax<<free>>, 
74:4D:28:57:A6:3C, 2025-05-27 10:56:41, 2025-05-27 10:57:53, 11, 130, WPA2 WPA, CCMP, PSK, -40,       35,      326,   0.  0.  0.  0,   3, ETF, 
76:4D:28:57:A6:3C, 2025-05-27 10:56:41, 2025-05-27 10:57:53, 11, 130, WPA2 WPA, CCMP, PSK, -38,       34,       19,   0.  0.  0.  0,  11, ETF Student, 
D2:C0:BF:8D:B0:89, 2025-05-27 10:56:42, 2025-05-27 10:57:53, 44, 360, WPA2, CCMP, PSK, -78,        8,        0,   0.  0.  0.  0,  18, Pro 2 D10_BF8DB089, 
66:78:83:87:AA:2B, 2025-05-27 10:56:48, 2025-05-27 10:56:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
F8:D1:11:BC:7A:70, 2025-05-27 10:56:51, 2025-05-27 10:57:45, 13, 270, WPA2 WPA, CCMP TKIP, PSK, -90,        6,        2,   0.  0.  0.  0,  19, Multimedijalna sala, 
B8:69:F4:9A:77:34, 2025-05-27 10:56:53, 2025-05-27 10:57:26,  1, 130, WPA2 WPA, CCMP, PSK, -86,        2,        0,   0.  0.  0.  0,   3, ETF, 
BA:69:F4:9A:77:34, 2025-05-27 10:57:10, 2025-05-27 10:57:44,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
66:D1:54:6A:34:EE, 2025-05-27 10:57:21, 2025-05-27 10:57:39,  1,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
EC:08:6B:EA:EA:24, 2025-05-27 10:57:29, 2025-05-27 10:57:51,  9, 270, WPA2, CCMP, PSK, -88,        6,        0,   0.  0.  0.  0,   6, ETF EM, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0E:09:8D:C7:EB:FD, 2025-05-27 10:56:37, 2025-05-27 10:57:48, -42,      156, C4:E9:84:A6:11:E8,
2E:02:70:77:D2:88, 2025-05-27 10:56:37, 2025-05-27 10:57:44, -68,       21, BA:69:F4:9A:77:34,ETF Student
66:78:83:87:AA:2B, 2025-05-27 10:56:39, 2025-05-27 10:56:48,  -1,       25, 76:4D:28:57:A6:58,
B4:4C:3B:3B:5F:A7, 2025-05-27 10:56:40, 2025-05-27 10:57:48, -71,       35, (not associated) ,Elemend
40:A3:CC:D1:55:B0, 2025-05-27 10:56:41, 2025-05-27 10:57:47, -82,      311, 74:4D:28:57:A6:3C,
1E:6E:87:D7:DD:FB, 2025-05-27 10:56:47, 2025-05-27 10:57:53, -84,       20, 74:4D:28:57:A6:3C,ETF
24:58:7C:F0:B6:1C, 2025-05-27 10:56:47, 2025-05-27 10:57:31, -61,       31, 3C:84:6A:D1:1E:6B,
76:4D:28:57:A6:58, 2025-05-27 10:56:48, 2025-05-27 10:56:48, -86,        3, 66:78:83:87:AA:2B,
1C:1B:B5:5C:25:B0, 2025-05-27 10:56:52, 2025-05-27 10:57:53, -69,        6, 74:4D:28:57:A6:3C,
00:E1:8C:CE:8D:53, 2025-05-27 10:56:56, 2025-05-27 10:56:56,  -1,        2, F8:D1:11:BC:7A:70,
60:6E:E8:B7:30:F6, 2025-05-27 10:56:59, 2025-05-27 10:57:48, -83,        6, BA:69:F4:2E:8F:DF,
EA:CC:3B:06:21:C8, 2025-05-27 10:57:03, 2025-05-27 10:57:03, -23,        1, (not associated) ,
72:78:02:80:B9:DB, 2025-05-27 10:57:04, 2025-05-27 10:57:54, -74,       16, 64:D1:54:A4:36:5F,
98:22:EF:5E:DB:F9, 2025-05-27 10:57:09, 2025-05-27 10:57:09, -78,        1, (not associated) ,
70:66:55:04:D7:13, 2025-05-27 10:57:09, 2025-05-27 10:57:09, -82,        1, (not associated) ,
6E:93:59:A6:61:CD, 2025-05-27 10:57:10, 2025-05-27 10:57:10, -88,        1, BA:69:F4:9A:77:34,
34:F6:4B:BD:72:89, 2025-05-27 10:57:13, 2025-05-27 10:57:14, -88,        2, (not associated) ,ETF Student
D4:F9:21:38:A3:18, 2025-05-27 10:57:15, 2025-05-27 10:57:43, -61,       27, 3C:84:6A:D1:1E:6B,
EE:4F:AD:3D:EC:14, 2025-05-27 10:57:15, 2025-05-27 10:57:15, -75,        1, (not associated) ,
3E:60:36:44:61:C7, 2025-05-27 10:57:26, 2025-05-27 10:57:26, -85,        1, (not associated) ,
2E:DB:0A:B2:36:C4, 2025-05-27 10:57:28, 2025-05-27 10:57:53, -85,        4, BA:69:F4:9A:77:34,ETF Student
AE:8C:D2:F6:BD:54, 2025-05-27 10:57:36, 2025-05-27 10:57:36, -52,        2, 76:4D:28:57:A6:3C,
F2:30:D4:5A:5F:E9, 2025-05-27 10:57:43, 2025-05-27 10:57:43, -83,        1, (not associated) ,
BA:CA:9E:1E:0D:99, 2025-05-27 10:57:43, 2025-05-27 10:57:43, -73,        1, B8:69:F4:2E:8F:DF,
02:44:83:6C:4D:FE, 2025-05-27 10:57:43, 2025-05-27 10:57:43, -78,        1, 76:4D:28:57:A6:58,
8A:20:A5:F3:4C:27, 2025-05-27 10:57:47, 2025-05-27 10:57:47, -79,        1, 76:4D:28:57:A6:3C,
98:22:EF:5F:49:3D, 2025-05-27 10:57:51, 2025-05-27 10:57:52, -81,        2, (not associated) ,

