Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Ziroskop 2;8C:53:C3:C6:53:3F;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;16;0;0;0;0;0;;;Tue May 27 10:56:37 2025;Tue May 27 10:57:48 2025;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ETF;B8:69:F4:2E:8F:DF;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;32;0;11;0;0;11;;;Tue May 27 10:56:37 2025;Tue May 27 10:57:53 2025;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ETF Student;BA:69:F4:2E:8F:DF;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;31;0;30;0;0;30;;;Tue May 27 10:56:37 2025;Tue May 27 10:57:53 2025;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;DARKSIDE;C4:E9:84:A6:11:E8;;1;No;WPA2,AES-CCM;No;135.0;0;66;0;148;0;0;148;;;Tue May 27 10:56:37 2025;Tue May 27 10:57:50 2025;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;ETF Student;76:4D:28:57:A6:58;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;26;0;13;0;0;13;;;Tue May 27 10:56:37 2025;Tue May 27 10:57:48 2025;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Mi vi oni :);78:96:82:54:AA:C8;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;15;0;1;0;0;1;;;Tue May 27 10:56:37 2025;Tue May 27 10:57:43 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;SC-LUKAVICA;64:D1:54:A4:36:5F;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;51;0;2;0;0;2;;;Tue May 27 10:56:37 2025;Tue May 27 10:57:54 2025;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;ETF;74:4D:28:57:A6:58;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;21;0;0;0;0;0;;;Tue May 27 10:56:37 2025;Tue May 27 10:57:48 2025;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Embedded Lab;3C:84:6A:D1:1E:6B;;6;No;WPA2,AES-CCM;No;130.0;0;101;0;5;0;0;5;;;Tue May 27 10:56:38 2025;Tue May 27 10:57:53 2025;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;3E:84:6A:E1:1E:6B;;6;No;WPA2,AES-CCM;No;130.0;0;110;0;0;0;0;0;;;Tue May 27 10:56:38 2025;Tue May 27 10:57:53 2025;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;LAB_2.32;00:31:92:80:4F:2B;;2;No;WPA2,AES-CCM;No;130.0;0;9;0;0;0;0;0;;;Tue May 27 10:56:38 2025;Tue May 27 10:57:22 2025;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;beacongw_282C0222205C;28:2C:02:22:20:5C;;11;No;WPA2,AES-CCM;No;130.0;0;76;0;0;0;0;0;;;Tue May 27 10:56:41 2025;Tue May 27 10:57:53 2025;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;HP-Print-C7-LaserJet Pro MFP;90:48:9A:CD:0C:C7;;6;No;OPN,None;No;65.0;0;70;0;0;0;0;0;;;Tue May 27 10:56:41 2025;Tue May 27 10:57:53 2025;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Sarax<<free>>;C0:74:AD:16:3F:15;;11;No;OPN,None;No;720.0;0;22;0;3;0;0;3;;;Tue May 27 10:56:41 2025;Tue May 27 10:57:53 2025;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.50.254;
15;infrastructure;ETF;74:4D:28:57:A6:3C;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;35;0;326;0;0;326;;;Tue May 27 10:56:41 2025;Tue May 27 10:57:53 2025;-40;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;ETF Student;76:4D:28:57:A6:3C;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;34;0;19;0;0;19;;;Tue May 27 10:56:41 2025;Tue May 27 10:57:53 2025;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Pro 2 D10_BF8DB089;D2:C0:BF:8D:B0:89;;44;No;WPA2,AES-CCM;No;360.0;0;8;0;0;0;0;0;;;Tue May 27 10:56:42 2025;Tue May 27 10:57:53 2025;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;66:78:83:87:AA:2B;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue May 27 10:56:48 2025;Tue May 27 10:56:48 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;Multimedijalna sala;F8:D1:11:BC:7A:70;;13;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;6;0;2;0;0;2;;;Tue May 27 10:56:51 2025;Tue May 27 10:57:45 2025;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;ETF;B8:69:F4:9A:77:34;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Tue May 27 10:56:53 2025;Tue May 27 10:57:26 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;;BA:69:F4:9A:77:34;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue May 27 10:57:10 2025;Tue May 27 10:57:44 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;;66:D1:54:6A:34:EE;;1;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Tue May 27 10:57:21 2025;Tue May 27 10:57:39 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;ETF EM;EC:08:6B:EA:EA:24;;9;No;WPA2,AES-CCM;No;270.0;0;6;0;0;0;0;0;;;Tue May 27 10:57:29 2025;Tue May 27 10:57:51 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
